SquareFootage,NumBedrooms,SchoolRating,RenovationQuality,IsLuxury
1109.44,3,6.83,6.44,0
714.02,3,8.85,3.6,0
550.0,2,1.37,3.7,0
1062.4,3,4.69,5.96,1
626.54,3,5.78,8.3,0
876.12,4,6.79,6.48,0
1027.03,3,3.62,7.96,0
1005.4,2,5.47,3.99,1
1034.81,3,5.3,4.51,0
1423.76,3,9.58,7.77,1
2072.28,4,8.36,7.22,1
795.13,3,6.55,5.19,0
1116.57,3,6.45,4.08,1
1057.86,3,9.78,6.78,1
550.0,4,9.12,7.08,0
1138.61,3,5.12,6.61,1
1562.69,3,8.41,5.53,0
783.13,2,4.32,2.24,0
671.79,4,9.97,5.57,1
550.0,2,3.6,4.22,0
1929.23,5,10.0,8.9,1
1456.13,2,7.45,3.6,0
1079.63,3,8.37,6.03,1
550.0,3,5.66,3.85,0
979.58,3,6.74,4.47,0
550.0,4,8.88,4.72,0
550.0,4,10.0,6.27,1
550.0,2,4.73,4.58,0
652.65,4,6.04,4.06,1
1366.81,4,10.0,8.23,1
593.12,2,3.95,6.59,0
1156.34,2,6.14,3.49,1
1205.36,3,10.0,6.84,1
550.0,3,4.45,3.82,0
1622.71,3,7.22,4.64,0
1752.42,4,8.27,5.2,1
1389.32,4,10.0,5.09,1
1291.36,4,10.0,7.81,1
576.58,3,3.48,4.62,1
550.0,3,6.91,4.05,0
550.0,2,5.47,3.11,1
1351.01,3,8.03,6.15,1
550.0,4,7.95,3.95,0
607.97,3,7.19,5.7,0
583.83,2,4.92,2.13,0
550.0,4,10.0,8.28,0
964.34,4,7.19,7.87,0
550.0,2,5.51,1.89,0
758.5,2,6.49,6.75,0
759.25,4,5.45,5.21,0
1249.1,2,4.39,2.97,1
828.24,2,6.01,3.12,1
550.0,4,7.15,6.29,1
550.0,2,5.24,2.34,0
731.86,4,6.49,3.87,1
1464.33,3,10.0,5.53,1
2188.24,3,8.54,10.0,1
1574.03,3,6.26,6.87,0
1035.55,6,10.0,4.12,1
687.13,3,5.47,3.46,0
694.91,3,7.89,2.98,0
1569.85,2,10.0,4.83,0
1648.71,2,7.05,8.17,1
1218.66,3,6.94,6.95,1
1216.33,4,10.0,7.31,1
671.09,3,6.32,3.39,0
1136.23,4,6.07,5.6,0
874.34,1,5.93,5.01,0
1181.66,3,4.54,5.95,1
2286.02,4,7.65,3.61,1
1350.5,5,10.0,8.59,1
550.0,3,7.51,3.29,0
1532.97,4,7.84,5.28,1
560.07,5,7.11,2.94,1
550.0,4,7.03,4.28,1
831.59,3,7.23,8.17,0
1393.1,1,7.23,7.51,1
1442.01,3,5.76,2.55,0
1179.23,4,9.22,5.05,1
965.69,4,7.95,4.97,1
550.0,2,6.92,5.38,0
710.11,3,5.96,5.87,1
550.0,2,5.57,4.15,0
1245.13,3,10.0,5.4,1
1877.12,3,7.99,5.86,0
1356.3,3,8.61,5.14,0
977.51,3,7.33,5.59,1
688.88,3,6.32,6.48,1
550.0,4,6.15,3.96,0
1103.23,2,5.69,4.88,0
767.36,4,8.83,6.18,0
1792.82,3,6.8,7.0,1
1083.25,4,10.0,6.25,1
1210.49,1,5.2,2.5,1
1472.5,3,5.78,6.6,0
1154.95,4,5.56,3.16,0
757.44,3,6.59,5.91,1
1075.91,4,7.35,7.23,1
1406.02,2,6.71,5.51,1
797.2,2,6.88,5.64,1
1002.76,3,10.0,6.31,1
550.0,5,10.0,7.31,1
1005.18,3,8.4,5.86,1
914.61,2,6.04,0.52,0
1844.94,3,9.04,8.01,0
550.0,2,5.29,4.62,0
1413.97,3,4.69,5.99,0
550.0,4,9.6,5.7,1
1714.11,5,9.25,7.45,1
550.0,3,5.79,2.31,0
550.0,1,3.0,0.33,1
1197.83,2,10.0,5.18,0
1909.91,5,7.3,9.72,1
1647.02,3,8.07,7.8,1
1132.88,3,9.61,7.54,0
1322.13,4,6.61,6.94,1
1666.44,3,4.69,9.01,1
1420.82,2,5.43,3.51,0
550.0,3,5.81,2.43,0
791.8,3,6.41,4.91,1
550.0,2,8.52,2.14,0
1811.08,5,10.0,7.12,1
1871.3,3,6.7,5.33,1
1211.47,3,5.3,3.22,0
872.78,3,6.55,4.43,1
550.0,4,5.28,3.81,1
550.0,2,6.39,2.75,0
550.0,3,6.7,3.12,0
1224.48,3,6.59,6.36,1
2240.87,1,5.91,6.28,0
1194.4,4,6.52,6.75,1
1079.7,3,6.14,2.06,0
550.0,3,5.8,3.32,0
550.0,2,5.75,3.68,1
1428.66,4,5.82,6.04,0
550.0,2,4.44,0.81,1
550.0,3,6.71,5.16,1
550.0,3,6.92,3.07,0
798.62,3,7.16,4.97,0
1194.44,3,9.99,5.96,1
1789.94,2,4.87,1.99,0
1607.84,4,9.18,6.61,1
1385.61,2,5.53,2.85,1
550.0,3,4.68,2.45,0
1162.96,3,9.09,6.64,1
550.0,3,2.74,3.96,0
1263.08,4,7.63,6.04,0
550.0,3,5.38,7.55,0
1772.95,2,4.11,4.11,0
550.0,3,8.19,5.92,0
600.98,3,5.54,5.33,0
672.46,2,4.47,2.68,1
550.0,2,7.06,3.51,0
793.9,3,6.9,7.94,0
1576.36,2,8.32,6.12,0
1066.43,3,6.71,2.45,0
860.83,6,7.53,5.31,1
1017.03,2,6.78,4.46,1
701.27,3,7.28,8.49,0
1634.97,4,9.19,5.23,1
964.6,3,6.1,6.58,0
1342.22,2,6.59,6.27,0
550.0,3,3.36,1.12,0
1497.53,3,9.24,7.29,1
1307.78,3,10.0,9.4,1
1666.63,1,1.35,3.07,0
973.81,3,3.26,4.92,0
1196.2,4,10.0,7.95,1
550.0,3,6.87,5.07,0
920.56,2,7.13,5.17,1
1258.98,3,6.87,5.01,1
690.57,3,7.31,3.48,0
550.0,3,9.5,5.9,1
550.0,2,8.49,5.97,0
1446.72,4,6.71,4.49,1
863.31,2,4.7,4.84,0
550.0,1,5.58,0.68,0
1230.22,4,7.14,6.76,0
1276.83,2,3.43,6.51,1
1004.32,4,4.85,3.27,1
1291.17,6,7.1,6.39,1
891.59,2,5.8,6.12,1
1037.35,2,5.76,4.63,0
1681.69,3,8.48,8.87,1
2163.35,4,10.0,7.87,1
1647.58,3,7.41,4.81,1
1300.54,4,8.71,5.65,1
550.0,4,7.85,5.23,0
550.0,2,1.92,2.13,1
1613.59,3,6.69,7.75,1
1437.55,2,6.69,5.21,0
934.16,3,8.75,5.75,1
1021.58,3,9.08,5.41,1
1001.09,2,5.55,4.72,0
1047.86,4,10.0,7.93,1
1136.09,4,7.99,5.86,0
932.47,3,5.0,4.62,1
1679.53,3,9.21,8.08,0
1596.19,4,9.51,5.36,1
1233.39,3,5.92,4.16,1
1112.35,5,4.76,3.91,1
876.47,3,4.49,3.0,1
879.37,3,9.59,4.42,0
1932.48,1,3.93,1.93,0
1622.41,4,9.05,7.1,1
888.61,4,7.18,7.41,1
969.93,3,5.77,4.48,1
1249.65,3,5.7,4.18,0
1013.51,2,8.33,6.97,0
550.0,2,5.19,1.73,0
550.0,3,4.13,0.17,0
550.0,4,5.44,2.41,0
550.0,3,7.83,5.28,1
1426.26,4,8.55,3.64,1
845.18,3,7.06,7.3,1
579.94,3,6.53,2.34,0
1140.1,3,10.0,8.16,1
1063.86,4,7.36,4.72,1
1247.11,4,7.64,4.77,1
611.72,4,10.0,6.28,0
741.18,4,6.14,2.49,1
1432.58,4,10.0,7.72,0
1124.14,3,4.83,2.04,0
1115.75,2,5.37,4.88,1
1092.09,3,6.47,6.33,1
1269.88,4,8.86,6.57,1
550.0,3,4.56,3.5,0
1389.16,3,6.58,3.91,1
1427.45,4,8.77,5.86,1
550.0,4,8.22,3.95,0
949.96,4,9.39,1.83,1
550.0,2,3.14,2.26,0
914.69,2,6.89,5.6,0
1101.4,3,9.28,7.39,1
680.92,1,6.72,3.51,0
1667.3,5,10.0,10.0,1
786.48,1,7.33,0.18,0
550.0,4,7.74,4.97,0
759.0,3,3.38,1.2,0
1358.27,3,9.13,5.59,1
1053.69,2,3.74,2.15,0
868.5,4,7.86,5.85,1
1439.53,2,4.36,3.26,1
550.0,4,7.53,6.21,1
1193.66,2,5.09,3.43,1
610.18,3,6.47,3.99,0
550.0,4,7.59,7.28,1
805.99,3,7.98,5.95,0
930.25,4,9.85,9.15,0
793.32,3,9.18,6.67,0
1432.31,4,9.62,5.89,1
1581.07,3,10.0,6.19,1
1689.64,2,8.21,6.98,1
756.23,4,6.35,5.67,0
1522.38,2,5.03,6.73,1
550.0,2,4.45,4.34,1
915.44,3,6.89,2.97,0
1871.4,2,6.28,4.18,1
1522.53,2,5.87,2.49,1
1181.63,4,5.35,4.26,1
550.0,3,2.89,4.57,0
760.55,1,4.8,2.04,0
1073.54,2,4.83,5.61,1
846.38,2,3.12,4.54,1
1042.11,4,10.0,5.05,1
1066.81,3,7.21,6.41,0
641.56,4,9.21,4.46,1
993.92,2,5.29,2.58,0
1073.95,3,7.35,6.17,0
1418.33,3,8.81,8.59,1
1199.58,1,7.25,1.44,0
1682.77,2,7.41,6.71,1
965.56,4,8.14,5.48,1
550.0,3,4.41,3.39,1
1472.34,2,5.63,4.08,0
690.37,1,4.94,3.07,0
550.0,4,7.26,4.55,0
827.25,3,7.04,5.54,0
550.0,4,10.0,6.69,1
1179.79,2,9.29,6.95,1
1264.09,4,4.75,5.55,1
632.84,4,7.85,4.24,0
1212.91,4,6.87,6.25,0
642.36,3,8.04,3.45,0
1025.0,3,7.78,3.62,1
1120.54,4,9.72,6.66,1
697.99,4,8.27,4.96,1
638.75,3,2.05,3.93,0
550.0,2,5.38,4.47,1
550.0,3,4.71,4.96,1
550.0,2,7.8,2.76,0
622.97,3,7.63,3.85,1
838.09,3,4.36,1.83,0
1033.26,2,5.07,4.56,1
591.18,1,8.18,2.56,0
550.0,3,6.61,5.74,0
1358.29,3,3.31,3.66,1
550.0,4,4.69,3.69,1
550.0,2,4.85,1.63,0
713.02,3,4.02,4.95,1
1243.56,3,6.22,2.03,1
1761.01,2,7.28,5.54,1
1914.64,4,9.01,7.96,1
813.44,2,6.29,5.64,1
1280.29,4,9.73,6.81,0
1103.49,4,6.12,3.15,0
550.0,4,3.95,4.02,0
696.62,3,5.32,4.3,1
1190.85,2,7.22,5.55,1
1214.53,2,8.47,8.38,1
939.55,5,5.86,9.1,1
893.55,4,7.14,0.46,1
1494.81,4,10.0,6.13,1
760.96,3,4.97,4.81,1
1188.92,1,3.12,3.79,0
550.0,3,6.42,7.71,0
550.0,2,6.59,2.77,0
1620.23,4,8.88,4.59,1
1428.56,3,8.49,6.42,1
1252.72,2,5.81,4.66,0
1542.53,4,6.89,4.04,0
1360.67,4,7.33,4.6,1
550.0,3,4.65,0.34,1
901.0,3,10.0,4.62,1
848.11,5,7.53,2.49,0
1259.57,2,5.95,5.94,0
1246.79,2,9.5,5.64,0
764.52,3,7.26,5.3,0
981.54,2,6.1,4.96,1
743.12,3,7.26,5.81,0
952.71,4,8.56,5.9,0
1421.07,4,4.39,4.94,1
881.16,4,10.0,8.48,1
1587.13,3,7.61,7.67,1
1102.15,3,5.46,1.94,1
688.57,3,6.85,2.42,0
1182.12,2,5.63,2.51,0
1288.26,3,5.67,5.29,0
1709.82,3,10.0,6.53,1
961.04,4,9.22,5.81,0
785.91,2,8.57,4.52,0
693.51,3,5.48,2.32,0
1366.61,2,7.23,6.34,1
550.0,2,9.28,7.58,0
731.37,5,6.06,3.72,1
1168.53,2,5.65,1.96,0
1524.87,3,6.46,5.52,1
926.04,1,6.89,3.36,0
550.0,3,4.08,2.2,1
1298.07,2,7.73,6.1,0
1339.34,5,8.1,4.15,1
1314.72,2,7.65,3.8,0
1020.35,4,6.36,2.78,1
1638.78,3,10.0,3.66,1
1006.85,2,5.65,4.86,0
673.11,2,5.66,4.3,0
550.0,2,5.51,4.84,0
550.0,3,4.53,4.29,0
2055.04,3,10.0,7.17,1
1095.56,4,10.0,4.12,0
1184.28,5,7.51,7.54,0
863.99,3,7.37,6.23,1
550.0,2,4.53,3.27,0
1027.19,3,8.6,4.61,1
795.85,4,5.19,5.76,0
1027.76,4,5.55,4.41,1
970.6,3,7.52,5.0,1
550.0,5,8.19,5.28,1
921.63,3,8.28,5.06,1
755.0,4,8.01,4.49,1
902.27,5,8.73,4.81,1
1037.77,4,4.92,4.67,1
1881.78,2,10.0,7.06,0
550.0,2,4.8,2.92,0
862.04,4,6.83,6.3,1
671.47,3,6.49,2.46,0
955.82,3,6.46,4.24,1
550.0,1,5.73,3.88,0
550.0,4,9.45,5.02,0
650.11,3,6.24,5.48,0
676.56,1,5.22,5.0,0
550.0,3,5.58,4.61,0
725.08,3,8.39,4.46,0
806.19,1,4.96,2.98,0
1058.54,2,7.55,4.84,0
550.0,3,5.87,1.99,0
1164.13,1,6.29,2.83,1
682.56,3,5.98,3.83,0
984.21,3,6.46,3.27,1
1209.52,3,6.38,7.27,1
862.9,4,7.47,4.77,1
795.56,2,8.55,5.15,0
550.0,3,10.0,4.9,1
1151.89,2,3.03,3.27,0
1010.28,4,8.51,6.96,0
656.42,2,6.42,5.65,1
1657.28,3,5.72,6.0,1
1124.78,3,7.71,6.5,1
608.77,4,7.0,1.56,0
550.0,3,6.31,2.66,0
550.0,3,5.23,4.52,0
1142.69,3,8.11,4.47,0
1110.0,3,6.21,6.85,1
1642.1,3,7.28,6.5,1
1037.41,3,6.22,5.27,1
1184.97,5,9.32,5.94,1
550.0,4,6.9,2.6,0
965.58,1,7.27,8.41,0
1743.94,3,6.4,6.1,0
1496.97,4,8.7,7.84,1
776.93,1,4.11,6.11,0
550.0,2,4.22,6.07,0
2081.52,3,10.0,7.63,1
550.0,3,4.27,6.38,0
931.87,3,5.35,3.96,1
550.0,3,4.76,2.04,0
1343.93,4,5.21,3.22,1
1367.54,2,5.77,3.37,0
2054.6,1,7.77,5.11,1
1406.82,2,7.64,8.24,1
1663.62,3,6.66,8.03,1
809.51,3,7.01,7.45,1
991.57,4,8.81,5.98,0
1550.84,3,4.89,6.17,0
550.0,2,3.73,2.99,0
550.0,2,7.37,3.52,0
890.77,3,9.52,10.0,0
1480.66,3,5.96,4.82,0
1021.4,2,5.93,2.88,0
1015.18,1,7.51,2.83,0
1937.36,1,7.5,6.25,1
550.0,3,5.6,3.48,1
933.34,2,10.0,5.97,1
834.61,3,6.21,2.1,0
2068.82,5,8.67,9.35,1
668.91,2,5.92,3.18,0
895.52,4,8.74,6.51,1
550.0,2,5.76,5.18,1
1964.22,3,7.03,8.86,1
550.0,3,4.56,2.32,0
550.0,1,5.23,2.42,0
1569.79,2,8.42,8.26,1
1159.89,2,8.43,2.76,0
852.26,3,6.96,5.34,0
1825.36,3,7.45,4.32,1
948.01,4,7.41,7.28,1
1538.64,2,5.97,7.19,0
675.65,2,7.5,1.91,0
562.66,4,7.11,6.25,0
1242.05,1,8.07,5.63,0
1140.22,2,6.66,0.16,0
1765.19,1,5.98,5.84,0
550.0,4,7.73,4.94,0
1811.82,4,8.03,5.26,1
784.31,3,7.14,7.07,1
550.0,3,7.51,4.0,1
1734.6,1,5.08,6.87,1
763.62,2,4.21,1.19,0
735.48,3,6.46,4.38,0
707.65,3,4.75,7.82,0
966.84,3,6.57,6.09,1
642.03,2,4.4,3.4,0
1789.18,3,5.67,5.79,1
550.0,2,6.32,6.15,0
1013.78,2,5.74,5.49,0
878.12,2,5.75,2.67,0
843.49,3,5.42,3.97,0
975.57,2,5.7,4.4,0
823.34,4,6.05,3.02,0
1437.56,5,9.02,4.32,1
550.0,3,8.01,4.58,0
550.0,4,10.0,6.04,1
550.0,1,2.85,1.79,0
1262.34,5,4.87,6.22,1
1779.8,3,8.87,6.94,1
847.43,5,10.0,7.31,1
1623.34,2,7.04,6.08,0
1206.48,3,4.41,3.8,0
626.39,4,7.64,5.32,0
1054.14,2,8.16,5.07,0
1092.71,1,4.25,3.39,0
1590.23,3,8.99,3.98,1
974.69,4,7.31,7.57,1
1875.44,5,9.85,8.18,0
1273.23,3,6.77,4.0,1
550.0,4,6.17,3.07,1
1559.54,3,7.81,7.17,1
1025.84,3,5.03,5.84,1
1554.09,4,7.46,7.79,1
715.82,3,6.54,4.07,0
550.0,4,7.8,5.11,1
550.0,2,8.58,3.57,0
1485.68,4,10.0,5.81,1
696.64,5,7.66,3.29,0
666.6,1,6.52,1.16,0
1761.42,5,7.71,8.05,1
550.0,2,4.42,2.51,0
550.0,3,4.41,2.05,0
833.3,4,5.76,3.84,1
1339.86,6,9.41,7.2,1
550.0,3,4.66,0.41,0
1061.61,4,6.5,7.44,1
1280.31,3,9.17,5.19,1
1010.1,4,6.06,5.79,0
711.62,5,8.21,5.47,1
1316.02,1,3.96,2.43,0
1180.31,5,6.51,4.65,1
1300.04,4,7.45,5.06,0
1058.49,2,7.39,4.29,0
1258.89,3,8.33,5.16,0
1003.91,4,9.11,5.88,0
550.0,3,4.98,4.21,1
920.33,4,7.61,0.49,0
1469.8,2,9.25,9.02,1
711.07,3,3.94,2.04,1
987.04,3,2.95,2.16,0
917.42,2,7.5,7.27,0
1042.11,4,6.44,7.17,1
1220.57,3,8.77,3.79,1
1004.24,3,7.9,3.87,0
776.78,3,6.28,3.58,0
550.0,5,3.41,0.74,0
1052.01,4,4.87,3.44,0
886.05,4,7.03,5.06,0
1065.93,2,7.76,4.96,0
1310.88,3,10.0,7.66,1
985.17,2,5.15,3.2,0
1280.95,5,10.0,10.0,1
1173.3,4,10.0,7.64,1
550.0,4,7.54,4.2,0
829.58,4,3.08,3.52,0
1003.08,3,7.21,5.66,1
1016.22,3,6.3,5.11,1
1027.66,4,8.94,8.02,1
550.7,4,6.22,1.29,0
988.32,3,7.05,3.18,0
926.39,2,7.53,3.86,0
1657.16,2,8.79,5.91,1
1197.95,4,7.63,4.82,1
811.92,4,7.11,1.57,0
617.59,3,6.68,6.19,0
1002.74,1,6.23,3.11,0
1289.57,3,10.0,6.52,1
550.0,2,3.82,1.3,0
2670.46,4,5.97,4.93,1
1254.35,6,8.71,8.33,1
1433.84,4,8.15,6.9,1
788.46,4,7.29,3.81,0
550.0,2,6.09,4.85,0
1087.43,4,7.93,4.9,0
707.6,3,6.17,1.93,0
562.94,3,4.9,3.94,0
1530.81,4,7.8,8.97,1
863.23,4,9.44,7.23,1
1057.49,4,6.44,5.25,1
1036.74,5,8.78,3.95,1
575.15,3,8.17,3.75,0
816.16,2,6.35,4.26,0
550.0,5,4.26,3.55,1
1045.03,3,9.12,6.21,1
550.0,5,6.29,0.65,0
1017.85,3,6.9,3.37,1
1722.21,3,10.0,6.82,0
804.9,3,8.44,6.48,0
627.81,2,6.75,3.77,0
1228.38,3,4.99,3.79,0
550.0,3,5.56,4.4,1
979.53,4,8.43,3.73,1
680.49,3,5.03,2.77,0
995.76,2,6.58,9.01,1
1117.95,3,9.35,6.45,1
1085.44,3,10.0,6.94,0
1229.28,5,8.22,6.08,1
1877.38,2,9.21,6.98,1
800.7,2,6.04,3.31,0
1703.4,2,10.0,4.22,1
692.45,3,6.78,2.02,0
1364.59,3,6.44,5.14,0
1832.72,3,10.0,5.81,1
975.15,1,6.32,4.68,1
1257.36,4,7.66,7.32,1
1182.99,2,5.71,2.16,1
1247.5,3,8.0,8.31,1
951.57,4,4.16,4.87,1
753.72,3,8.66,7.81,1
550.0,4,6.1,3.01,0
1188.88,3,6.46,2.33,1
734.27,2,4.45,3.37,0
1271.3,3,3.5,0.97,0
986.07,3,7.23,6.24,0
1333.3,3,9.87,7.81,1
1737.13,4,5.96,3.77,0
715.11,1,4.25,2.62,0
1658.33,3,7.24,4.78,1
1457.94,2,5.31,6.12,1
1559.46,5,8.48,6.17,1
882.39,5,10.0,6.54,1
992.53,3,6.29,3.53,1
1165.33,2,5.93,6.11,0
550.0,3,7.98,2.77,0
657.69,4,7.65,0.62,0
1429.13,4,8.07,6.78,1
1098.27,2,5.62,5.65,1
612.01,3,6.33,5.3,0
713.43,2,10.0,5.75,0
795.24,4,9.98,4.1,0
863.07,2,5.02,3.29,0
1317.8,3,4.38,4.52,0
1928.33,5,8.33,9.85,0
1791.41,5,7.49,5.24,1
1330.52,3,7.76,5.13,1
550.0,3,6.57,1.93,0
1964.4,2,5.14,5.17,0
1055.67,4,7.05,4.16,1
550.0,3,8.75,4.66,0
637.46,3,9.86,4.75,1
550.0,5,10.0,6.64,1
550.0,3,7.56,7.66,1
903.05,3,5.32,6.08,1
1316.69,3,10.0,7.4,1
854.64,3,1.78,3.28,0
550.0,3,4.67,2.45,0
1757.89,2,6.11,5.11,1
550.0,2,7.79,5.55,0
1015.7,3,9.33,6.24,1
1653.37,3,10.0,7.06,0
590.26,4,7.58,4.43,1
550.0,2,5.82,4.67,0
1262.26,4,8.59,7.59,1
682.85,5,6.76,3.37,1
1777.14,3,9.57,6.12,1
570.95,2,5.69,5.06,1
771.68,5,6.65,5.85,1
1348.09,5,7.08,6.72,1
1996.41,4,8.22,10.0,1
1368.31,3,7.46,6.76,0
813.84,1,3.79,3.03,0
550.0,3,5.59,2.85,0
569.55,3,3.53,2.04,0
563.33,3,9.06,5.48,0
702.7,2,6.45,4.12,0
550.0,2,5.94,5.82,0
740.51,2,4.84,4.12,0
581.91,1,4.77,1.86,1
1400.63,5,10.0,7.12,1
1063.19,4,8.73,4.49,0
550.0,1,5.68,5.05,0
1243.17,1,7.33,5.32,0
1320.89,2,1.7,5.06,1
550.0,1,6.53,2.93,1
1487.75,3,5.25,4.6,1
1840.34,1,7.94,5.08,0
964.35,1,6.75,4.53,0
1122.2,2,5.17,4.11,0
1203.62,2,7.49,5.85,1
1168.67,2,6.12,7.03,0
1496.96,3,9.29,7.57,1
801.36,5,7.83,7.5,1
1100.96,3,6.96,5.67,1
1446.91,2,6.3,5.94,1
550.0,3,6.72,3.63,0
774.1,4,7.35,7.27,1
1358.21,1,2.8,5.91,0
1161.42,3,6.07,5.08,1
629.33,1,3.74,3.51,1
1614.37,2,5.97,4.97,0
