SquareFootage,BackyardSpace,NumBedrooms,AgeOfHome,SchoolRating,RenovationQuality,Price
1104.28,247.27,4,65.69,5.27,4.99,353108.2819
1331.78,90.87,3,89.33,6.11,4.01,353173.3423
1253.07,719.02,3,11.86,9.58,6.18,244280.9675
670.27,774.41,2,41.05,5.4,2.81,191113.1065
1029.17,1066.64,5,111.02,4.85,2.74,277617.8096
1747.75,651.49,4,8.88,8.18,5.14,521223.2561
550.0,245.38,3,45.91,6.75,0.86,103947.6295
1272.98,439.48,1,104.43,3.51,2.58,171418.0448
1608.98,922.9,3,27.84,8.7,4.41,275311.908
627.24,76.12,5,39.91,6.75,5.32,333708.0442
550.0,510.2,1,46.75,5.66,0.37,306202.9736
1614.37,483.68,2,49.51,5.97,4.97,180247.7314
1368.21,64.97,3,42.88,6.58,4.97,397236.8931
748.56,861.18,4,52.77,8.99,4.81,160304.1753
1940.29,795.7,4,37.89,7.0,3.66,682875.7818
550.0,311.49,3,39.72,5.72,6.13,393215.7564
925.34,789.6,2,24.8,6.9,5.03,166673.7965
1654.51,607.02,3,33.34,7.41,5.41,630994.2869
1002.14,230.87,4,96.0,6.81,7.7,360053.6851
1040.5,398.24,4,33.69,7.81,3.9,478799.9918
1539.74,595.27,4,64.99,5.46,3.84,230289.9546
1666.63,381.49,1,8.82,1.35,3.07,307315.345
1112.56,915.48,3,2.15,4.01,5.27,528618.8707
844.84,285.84,3,107.85,8.7,3.67,98378.32224
1615.39,457.9,4,33.53,4.86,3.8,692732.5812
1883.99,562.14,2,33.68,4.07,3.32,422653.6677
1789.18,1146.37,3,104.26,5.67,5.79,606809.1906
576.07,450.58,2,82.85,5.66,4.68,257544.0629
1289.46,667.17,4,46.35,8.56,5.52,334199.9353
1046.87,296.7,3,40.57,5.49,4.24,284255.1623
678.79,371.5,2,87.35,6.36,0.54,108250.9154
679.42,622.02,2,44.3,6.62,5.3,138047.5627
934.7,490.73,3,20.31,6.09,4.21,234564.8609
589.22,452.4,4,90.89,5.24,5.43,252944.9569
1578.36,25.03,2,66.93,6.01,6.97,170641.265
1348.73,261.46,3,33.57,9.17,6.45,455997.1118
2246.07,479.74,2,8.99,10.0,9.28,779931.8759
1067.3,665.83,2,20.03,6.06,8.04,211883.045
1543.39,520.44,3,20.86,10.0,6.93,370207.3866
550.0,535.29,3,21.47,8.18,4.13,235334.2782
550.0,290.65,3,108.3,6.97,1.27,207397.7233
636.25,571.31,5,60.34,4.86,8.01,633005.2522
1797.71,517.93,2,16.94,8.5,5.93,646806.3598
1335.59,566.17,2,5.54,9.46,4.66,220143.6872
1258.66,1174.25,3,71.41,5.8,1.73,224349.0624
550.0,524.74,1,38.63,6.8,3.87,137212.5389
550.0,948.0,4,59.07,9.84,6.06,254020.7906
630.03,404.23,3,62.44,7.41,6.26,216351.837
1722.21,397.88,3,24.29,10.0,6.82,247083.9187
550.0,490.07,4,27.34,6.04,5.2,109758.7827
603.44,669.58,3,27.16,7.61,6.41,146397.9284
550.0,989.47,1,11.49,4.73,2.68,173722.5743
879.8,429.24,2,62.15,6.96,4.69,204115.2013
550.0,362.83,3,12.4,8.59,7.14,260976.6665
1230.69,311.8,4,117.42,6.06,9.34,395125.7018
2137.72,274.36,3,0.39,8.32,5.42,497692.5176
1057.2,156.59,5,90.9,9.13,9.17,535835.6644
913.16,371.9,2,35.25,6.1,3.11,226768.2603
957.72,722.53,3,28.0,5.44,4.55,310305.5598
1066.25,993.82,4,78.85,7.61,4.03,276203.9201
1441.86,864.27,3,63.92,7.75,6.47,331247.0143
1048.33,9.61,4,24.03,6.62,5.49,374402.1233
1316.69,765.96,4,78.5,5.08,4.83,259757.602
637.96,9.81,1,47.05,5.34,3.87,118735.8676
1368.39,418.29,4,23.91,8.86,6.57,280920.0402
1001.67,631.95,2,70.1,7.37,5.91,202463.8609
1812.59,641.93,2,139.03,7.22,6.86,543193.7648
939.55,468.79,5,103.39,5.86,9.1,410357.2197
1125.06,156.55,1,6.46,6.58,3.53,173809.6441
1269.84,509.97,3,80.95,4.32,6.41,217171.6912
1247.08,570.02,5,31.55,9.05,4.91,389877.9007
916.2,324.58,4,77.79,9.57,4.15,208419.3752
1375.84,419.82,2,47.96,9.92,5.11,370495.3218
550.0,458.89,3,76.35,4.22,3.13,103212.0744
732.92,53.89,2,63.45,5.21,4.19,127574.0886
975.15,1133.12,1,42.6,6.32,4.68,166450.4353
1868.73,455.84,3,97.31,5.86,6.4,309631.4746
909.16,841.63,3,81.74,9.76,4.78,196204.535
979.58,305.22,3,64.78,6.74,4.47,249538.9243
1931.09,1132.38,5,6.37,10.0,6.76,799996.2481
1769.01,388.99,3,61.9,7.92,7.39,544763.5776
936.96,273.26,5,42.04,8.76,3.09,312296.6703
873.02,32.49,2,8.46,3.86,2.97,164903.4879
937.32,237.97,3,70.27,6.73,3.44,182897.1964
891.62,453.52,4,40.38,7.33,2.34,375795.8439
550.0,492.41,2,96.15,7.28,2.01,150830.2384
550.0,264.21,2,65.96,6.49,2.81,98879.35132
696.5,681.04,2,32.07,5.11,5.27,304631.685
550.0,1043.79,2,52.41,7.36,6.68,225726.3565
550.0,760.75,2,26.35,3.19,2.35,155684.9643
1457.95,354.82,1,8.84,4.2,4.17,299223.8467
696.81,743.16,4,41.2,5.77,4.83,415007.0335
1041.16,433.62,2,82.52,5.86,5.29,142240.2358
1655.1,648.73,4,156.4,6.29,5.92,374959.758
1509.02,197.52,5,5.73,7.53,2.28,229519.262
561.16,497.27,5,1.21,10.0,6.41,255087.7075
1331.4,554.89,4,81.42,6.0,6.84,379489.2465
1404.98,354.11,2,24.09,8.32,4.88,216757.3556
550.0,527.12,3,14.44,6.29,4.34,160474.9654
869.01,352.77,4,25.24,6.48,5.86,253375.0876
765.65,670.46,3,1.71,5.77,3.93,254400.6244
1099.81,460.05,1,75.03,3.21,2.15,120748.6048
1481.33,373.24,3,39.41,6.51,5.05,210881.4665
550.0,1387.95,4,44.77,7.53,6.21,308427.1324
1356.47,748.5,4,17.03,8.38,6.04,655324.1759
1259.29,502.8,5,0.54,10.0,8.74,969059.6957
1173.15,425.96,4,56.57,7.19,2.04,461748.4582
550.0,499.04,4,31.79,7.11,5.05,233971.9901
1842.17,630.94,4,19.25,10.0,5.76,748256.0279
1301.32,701.13,3,6.28,8.65,6.51,227469.3042
1010.17,362.01,4,65.73,8.94,5.01,319230.5488
1167.09,498.37,2,46.91,6.82,5.29,136281.9799
550.0,510.13,4,82.75,6.35,5.26,362981.6337
1219.82,534.57,4,77.86,8.44,6.97,284596.5952
1154.99,519.21,3,56.55,7.22,5.38,241041.2506
925.54,300.08,2,0.75,4.98,3.99,149161.886
1995.41,43.38,4,63.94,7.81,7.13,276656.5065
939.61,419.2,4,62.77,8.7,3.24,410697.6667
1655.56,928.97,3,35.97,6.14,5.43,353477.4283
1653.71,293.07,2,62.96,8.39,6.9,356183.7097
2069.92,346.49,5,8.44,10.0,7.06,798826.0426
550.0,190.53,1,96.79,4.71,2.3,222852.3977
1592.1,134.74,2,14.77,8.92,4.14,249815.1871
1177.13,282.06,3,17.52,8.28,5.18,166987.0495
550.0,859.66,4,12.94,6.23,0.76,145718.0224
550.0,86.82,4,41.58,8.41,4.65,217954.655
1952.56,541.56,4,28.95,7.96,2.72,442071.1893
974.62,96.39,3,14.19,9.53,8.12,319396.2929
1442.25,564.09,3,35.52,7.4,6.23,404764.9182
2170.86,929.36,6,30.47,10.0,8.34,720948.6752
700.38,563.56,2,116.62,6.09,6.71,151561.3852
943.64,464.64,2,11.5,7.3,3.34,129968.5095
955.04,832.77,4,57.45,9.61,8.35,280525.7092
736.19,293.57,3,33.03,7.38,7.19,358729.7227
1939.46,845.15,4,28.38,7.65,4.95,704512.7722
1362.96,834.44,5,17.89,8.02,7.52,470238.5325
550.0,1527.6,4,95.47,6.52,5.87,284396.0632
1255.38,482.12,4,19.94,8.53,6.82,455562.132
1588.03,124.47,3,32.94,10.0,6.64,448231.5409
1505.35,343.48,4,30.14,5.92,3.78,261273.8014
550.0,609.95,4,21.72,6.26,2.39,274343.871
550.0,285.58,3,0.2,5.16,3.05,354094.8412
654.07,1022.08,3,7.47,8.23,3.81,110505.7101
1012.69,455.09,3,28.24,4.31,2.9,171977.7174
1052.32,590.87,2,71.14,5.74,3.53,178009.8491
728.55,322.41,2,77.31,5.02,3.94,130890.354
1381.83,768.86,3,38.1,8.27,7.72,271626.442
1236.0,384.98,3,24.69,10.0,7.31,249751.8563
1168.46,13.21,1,51.98,3.46,5.73,101762.9942
600.25,641.45,4,43.35,6.48,6.01,401584.651
904.42,334.34,3,59.97,5.32,5.5,207601.5597
550.0,603.4,4,2.46,5.28,2.77,165832.1784
1723.29,439.27,2,7.13,7.94,8.98,370626.9651
742.01,307.52,3,27.28,3.14,4.51,229867.2818
876.01,255.08,4,59.58,8.2,7.93,261299.0612
920.33,1027.77,4,31.85,7.61,0.49,201083.057
662.53,26.01,2,8.74,7.5,7.49,289915.2581
1437.02,1230.93,5,33.29,7.02,9.08,500787.2489
1057.49,821.7,4,103.79,6.44,5.25,453167.7797
1412.1,331.92,3,52.27,6.25,7.36,468592.981
1865.64,542.84,5,38.99,9.34,6.88,643648.7488
1343.09,295.45,4,9.5,7.46,4.41,284846.2384
561.26,1131.07,2,103.38,4.99,1.78,165266.5131
1154.96,210.5,1,115.13,9.5,4.49,113423.8569
1138.68,491.93,4,33.91,6.65,8.14,400906.5969
1806.26,1332.11,3,55.76,7.75,5.14,390164.8623
550.0,241.85,1,47.1,7.62,2.09,187995.7479
762.18,774.24,4,19.36,6.33,5.84,334882.4909
1021.28,31.4,1,97.46,6.03,4.4,133991.8721
1257.82,479.92,3,6.75,4.91,2.14,384299.924
768.6,852.11,2,12.44,6.2,4.51,173253.2882
1705.01,514.98,2,59.96,4.34,6.16,365160.8737
1318.78,230.0,3,47.21,5.52,3.48,315110.2214
1396.01,554.38,5,57.78,7.96,7.2,544722.7857
664.28,392.33,2,3.48,8.76,4.22,103024.6398
964.97,392.99,3,9.51,7.31,5.1,236584.1873
785.82,601.04,5,41.15,6.59,4.15,407629.4936
801.77,135.67,5,55.26,7.19,4.21,506388.8471
1281.8,858.82,3,85.11,7.34,8.09,297285.8169
1033.09,127.95,2,16.02,4.3,3.45,290957.0203
1169.45,463.43,3,17.96,7.46,5.15,350479.6175
550.0,685.98,2,68.13,8.58,3.57,179465.1961
1125.23,276.16,4,82.42,8.43,4.91,510530.1082
1261.09,598.7,3,104.42,6.45,5.48,447293.5671
586.41,538.83,3,9.11,6.52,3.53,312074.1011
1225.68,277.91,2,126.53,7.72,2.79,143197.3936
550.0,304.02,3,49.71,1.35,4.53,118334.6332
796.75,490.35,1,49.0,5.31,3.77,99325.70034
550.0,420.78,3,128.4,2.8,0.82,104773.5017
748.14,969.1,3,58.3,6.01,5.49,236450.6019
782.04,463.51,2,24.74,6.15,4.05,163532.6969
1581.56,622.55,4,81.08,10.0,6.51,452987.9875
826.67,670.5,4,25.97,8.7,6.16,313470.0031
1151.93,372.65,3,40.2,4.67,4.41,380770.1555
1231.08,869.92,5,0.73,8.62,5.65,411243.601
550.0,163.52,1,44.04,5.64,2.6,256564.7699
1162.8,521.97,4,12.83,6.91,4.59,251183.1563
1062.47,78.23,1,67.35,4.27,2.34,155965.7046
810.88,413.01,2,76.84,3.96,4.12,180707.6909
643.02,88.0,3,19.79,6.55,4.24,206294.6469
550.0,605.29,3,31.63,3.12,3.58,93883.51932
550.0,274.41,3,25.09,6.99,5.61,172888.1978
550.0,331.95,3,60.27,6.17,4.31,232326.4253
1208.45,672.11,3,47.78,5.65,5.79,210467.5593
550.0,30.73,4,59.83,5.1,3.26,237388.69
1370.13,350.81,4,96.41,6.57,2.21,497529.3938
576.05,705.36,2,0.2,4.28,4.03,137084.6115
1295.0,369.44,2,1.49,5.88,6.16,312374.5689
676.49,660.64,4,38.02,9.4,9.02,530691.8255
965.44,602.92,2,70.65,3.99,1.89,238569.6214
939.03,300.77,4,76.76,9.02,7.15,272776.072
1085.52,83.35,4,53.18,7.2,3.91,280135.5817
1953.8,734.01,3,51.75,7.88,6.13,574520.8943
690.37,685.37,1,117.74,4.94,3.07,162605.8875
963.92,101.38,5,35.3,5.37,3.25,282254.4151
1499.56,103.21,3,8.44,5.06,4.53,523913.4523
550.0,644.33,3,0.02,9.05,6.06,268097.0147
1247.11,621.73,4,43.38,7.64,4.77,330576.3618
878.0,257.23,3,85.39,4.95,3.62,262653.3923
550.0,55.33,2,48.84,7.24,3.54,162547.0472
1403.53,1128.16,2,11.09,8.74,6.0,274124.9918
906.93,851.72,1,29.21,6.91,7.27,175680.1302
550.0,236.62,5,62.2,8.9,5.61,177882.2157
661.11,400.51,4,13.16,8.26,4.09,340979.9018
1280.96,69.82,2,55.93,2.68,2.3,111889.5615
1778.96,205.22,3,60.25,4.24,3.15,358367.7787
1320.1,581.23,3,34.15,6.06,6.34,265278.7319
858.35,116.84,4,15.32,7.24,3.57,323896.9028
1956.12,740.73,4,119.21,9.04,5.55,620197.351
550.0,91.06,3,3.47,7.98,7.26,134130.7502
1110.45,525.42,3,19.87,10.0,6.07,304931.3849
1164.13,327.22,1,6.06,6.29,2.83,335756.0143
1651.53,187.64,4,144.13,5.18,3.4,372249.6346
1590.37,935.42,2,6.28,6.56,4.95,520589.6866
603.82,431.28,3,78.05,6.09,6.76,411343.6274
1647.31,49.35,4,7.92,7.18,4.19,571526.5617
873.9,232.09,3,56.28,4.96,1.52,245104.5692
550.0,849.95,4,82.6,5.89,1.5,235613.132
988.76,1313.59,3,81.04,4.69,6.23,108935.8619
1891.21,490.88,4,43.04,10.0,5.6,497908.5102
1180.83,460.01,3,76.84,7.45,2.96,174200.3734
1272.81,869.23,3,8.48,9.09,5.23,322341.8634
1044.43,177.81,3,35.66,7.26,2.17,145942.1369
550.0,744.78,2,48.56,4.63,3.81,118104.4673
1617.38,499.12,2,17.79,3.49,3.74,412440.005
577.36,771.92,4,34.74,9.35,3.54,238343.9376
550.0,734.61,3,91.05,2.76,4.08,122930.8342
550.0,94.14,3,96.84,8.63,8.44,246206.4743
550.0,977.1,2,5.05,5.51,1.89,147760.8634
550.0,649.67,2,114.35,6.24,3.87,165566.0579
874.34,631.09,1,1.85,5.93,5.01,109258.2332
550.0,1021.67,5,19.74,5.59,5.27,527307.9088
2068.82,617.05,5,62.99,8.67,9.35,780190.8628
550.0,686.21,2,79.86,3.76,2.87,157587.7771
1162.7,749.35,3,44.31,4.35,5.43,235908.2389
550.0,241.35,2,15.19,5.02,1.96,161223.6344
1100.88,388.99,3,0.52,6.57,4.37,201849.2072
734.59,978.95,3,11.29,5.3,4.94,123104.0484
550.0,554.0,2,3.69,5.95,6.56,155727.5636
1726.12,943.19,2,90.45,5.82,5.31,421368.8869
1262.83,708.0,2,86.7,4.57,4.92,111529.805
1207.93,449.39,4,54.12,7.59,4.44,565338.9769
778.54,861.69,3,108.38,5.78,6.04,363985.391
1377.9,758.06,5,12.29,7.98,6.9,733103.4288
1386.37,590.93,3,44.33,7.14,6.34,316592.6204
642.36,505.06,3,9.28,8.04,3.45,172521.4329
860.54,525.04,3,123.1,5.81,4.7,258308.4169
550.0,385.1,3,103.12,5.88,3.21,175781.7126
708.47,607.66,3,38.55,7.48,2.57,192044.4362
816.16,576.84,2,61.14,6.35,4.26,193488.1005
1214.59,250.64,3,81.17,6.5,6.52,305813.1243
550.0,885.91,3,2.5,8.82,6.3,103436.2248
550.0,492.35,2,5.63,6.8,1.73,242450.3356
1726.85,823.07,3,84.65,5.2,4.6,675749.7362
1143.1,286.66,4,44.78,7.83,6.3,318126.9653
550.0,381.77,3,50.5,6.29,0.43,206316.8392
1653.32,294.97,3,61.87,7.55,5.2,397238.4498
550.0,851.91,2,70.21,3.73,2.99,115156.9002
1332.25,312.96,3,78.36,8.77,5.52,233534.837
1184.13,569.38,2,24.52,8.69,4.82,265015.4048
957.1,803.31,6,76.78,8.06,4.92,542916.9681
550.0,392.51,4,27.08,10.0,7.67,314737.1867
725.74,710.46,3,42.88,6.55,5.18,234433.7794
1119.65,880.94,2,164.41,6.46,6.09,204687.7228
1333.3,564.93,3,23.59,9.87,7.81,624004.5467
879.37,738.28,3,37.04,9.59,4.42,192100.1045
550.0,674.68,1,105.94,4.6,3.34,220351.6395
2010.62,483.35,4,37.36,8.71,9.91,679097.4556
550.0,383.02,1,44.42,5.48,2.22,205922.9258
982.12,906.47,2,120.0,8.64,4.05,145164.6243
1198.87,386.34,3,94.37,6.92,6.37,336955.922
831.53,673.58,3,43.92,9.23,4.2,466709.337
1486.63,1054.01,4,29.77,3.98,4.8,324337.8834
1366.81,659.3,4,48.41,10.0,8.23,445058.7417
821.19,461.33,4,25.26,7.45,4.8,340097.7088
1258.17,402.12,4,40.89,8.59,3.18,257093.7751
1690.71,398.24,4,23.99,8.88,6.04,352999.1133
550.0,103.49,3,127.08,5.26,1.31,152467.1669
728.22,676.73,5,117.85,10.0,7.3,511448.6747
550.0,536.78,3,23.97,5.85,2.57,248336.565
639.37,524.67,4,79.57,8.38,0.09,155146.8993
891.4,81.12,2,14.24,5.65,4.4,177944.3403
907.52,288.04,4,12.24,10.0,7.22,277389.5276
662.79,403.94,2,36.21,7.45,6.12,126108.4073
1228.64,634.83,3,8.56,9.11,7.61,405334.8917
550.0,179.5,3,75.7,5.57,1.34,129571.1343
1025.74,15.99,2,18.84,6.36,7.03,503922.7306
1301.89,614.3,4,65.18,8.88,6.14,631038.2748
1866.75,298.67,3,17.97,8.15,8.57,516799.3191
908.42,14.54,3,51.58,7.15,3.63,142639.1425
732.5,149.54,3,41.2,6.6,4.61,202084.3426
1398.64,117.0,3,48.19,10.0,7.43,348991.4784
575.16,829.79,3,61.99,5.74,4.03,235364.9007
1058.22,354.82,3,64.54,6.75,5.3,342576.4266
628.32,273.04,4,103.47,8.35,3.09,184100.4687
1629.07,363.24,3,18.97,10.0,5.53,461983.6949
1139.31,882.94,4,75.51,6.72,5.59,266465.0939
1480.25,104.53,3,58.01,8.57,2.73,264687.482
658.34,606.72,2,52.05,3.22,0.75,203962.6062
623.77,329.5,3,41.02,6.66,4.13,241942.875
576.65,296.65,3,60.78,3.78,1.89,164491.9501
550.0,596.38,3,2.08,5.45,4.67,135815.7113
550.0,388.17,3,0.67,6.05,5.16,330861.4805
1709.55,564.85,3,29.54,7.57,6.29,387483.377
1139.91,273.39,3,65.98,2.73,0.98,252928.8126
969.5,1020.08,3,24.19,9.31,7.01,497905.6963
550.0,273.64,5,11.47,4.26,3.55,551289.4411
793.35,765.13,1,59.11,7.42,6.03,165425.0982
1116.57,55.32,3,60.82,6.45,4.08,393815.2236
1310.88,499.31,3,76.47,10.0,7.66,646182.2465
1289.15,381.0,3,50.84,7.64,3.25,296121.6951
1885.27,385.69,3,63.41,6.92,3.69,432179.2694
765.63,491.0,3,61.86,5.61,6.23,401065.9409
968.74,349.9,2,90.61,5.84,4.86,214089.6239
1489.29,489.36,3,40.28,7.43,7.17,407852.18
1858.88,126.44,1,5.3,6.21,3.97,405574.4351
752.01,660.36,4,18.97,9.03,4.89,129485.9721
1417.48,617.68,2,52.3,4.74,2.61,280418.7304
1594.27,616.64,2,55.03,7.72,5.52,323691.9893
611.64,583.16,2,44.69,9.22,3.5,102580.7852
859.94,531.17,1,54.08,5.81,3.2,107330.1073
1491.55,394.18,2,15.62,5.78,5.45,302811.6508
1446.86,608.95,5,11.54,7.33,5.39,524598.9768
550.0,770.54,3,33.25,6.44,4.24,154684.3011
908.6,553.36,3,59.84,7.09,3.67,158109.1568
1423.6,269.11,3,52.0,10.0,7.67,369157.1951
1574.03,799.67,3,65.68,6.26,6.87,244766.5398
550.0,656.92,3,62.6,6.69,4.39,169536.3962
677.71,169.54,3,4.04,5.43,2.57,278642.1448
690.37,694.65,2,36.69,8.7,8.93,423641.3572
2170.18,223.46,2,50.89,8.43,4.58,354961.7707
1840.34,426.25,1,79.06,7.94,5.08,244662.9562
1632.39,302.13,3,48.25,4.87,5.31,343336.0697
1005.43,85.53,3,22.52,7.32,1.86,214297.0732
998.18,358.05,5,79.88,6.82,5.07,266337.8745
1093.75,558.96,2,44.17,7.57,5.24,244814.255
1348.39,529.29,4,53.64,4.04,3.26,415681.7376
581.94,518.23,4,34.84,8.64,6.67,521954.8921
550.0,823.43,4,62.08,7.9,5.2,283519.0624
1302.39,384.91,4,39.67,7.29,6.73,343053.3563
1625.16,583.95,4,39.49,9.48,8.96,623993.8792
1205.99,507.84,1,29.47,7.33,4.2,88580.3812
550.0,369.96,4,16.13,4.46,2.46,269536.7121
1269.8,226.61,2,65.34,6.73,2.77,229785.0799
1463.33,293.14,3,93.99,4.25,2.09,232594.7678
771.18,95.67,3,42.5,4.5,5.43,327626.1061
757.67,940.59,3,27.95,10.0,7.54,248086.4852
768.03,647.89,3,17.75,6.09,3.18,168532.7932
550.0,31.81,3,131.09,6.41,6.42,240754.6703
918.94,234.47,3,33.14,6.51,5.64,317898.9263
760.38,412.28,2,52.42,5.64,4.36,251869.3825
888.96,638.0,5,49.55,6.99,5.97,327448.2674
1610.1,98.2,1,44.86,4.85,5.64,149402.0683
550.0,206.6,3,10.15,5.82,4.55,182818.7408
1505.2,272.18,3,33.34,7.8,7.63,351747.2649
1204.99,870.73,2,35.86,9.95,6.09,214596.5987
1745.5,140.84,4,33.1,9.52,8.24,658461.7223
2269.73,392.97,2,2.87,8.45,6.42,492994.8442
550.0,959.25,5,64.62,5.93,6.8,219968.9935
708.12,427.97,4,34.8,8.02,7.63,283743.8872
1646.72,581.83,3,62.51,4.96,3.92,303853.3608
614.7,693.29,4,25.55,8.99,5.7,252796.5789
720.33,550.78,4,26.14,7.88,3.67,368824.7083
1025.38,624.94,5,26.39,6.68,8.46,419123.8418
1456.45,618.87,2,58.36,6.97,5.04,187888.8282
1395.58,299.59,2,29.73,4.24,5.58,356569.8677
550.0,360.74,5,64.0,5.67,2.92,347052.8596
1055.06,890.91,3,29.97,5.68,4.32,189564.2486
1659.19,719.3,3,11.22,8.86,7.22,284318.2353
1098.69,158.8,4,14.44,8.24,4.65,202859.3176
1809.95,863.25,3,52.65,8.99,6.26,361331.6827
1326.29,174.91,4,33.4,9.07,6.28,713993.1241
651.05,421.03,4,38.07,7.32,3.13,191718.172
550.0,814.66,4,132.41,4.71,2.58,229928.759
870.25,803.11,2,3.87,7.89,5.57,150695.0969
1450.56,691.7,3,87.01,7.74,5.23,336337.6459
550.0,1082.84,2,57.15,8.01,2.45,344786.63
1195.22,914.73,4,12.18,5.8,5.34,280494.9248
550.0,795.43,4,17.56,10.0,5.59,360491.2038
1168.86,288.52,2,15.84,5.84,6.55,300740.9772
1242.17,584.2,4,41.68,6.93,5.74,550091.5551
917.28,662.34,3,8.89,5.72,3.27,236691.7614
550.0,684.01,2,11.03,7.77,4.28,123575.9347
1139.91,256.02,2,106.9,7.06,4.96,260356.7383
939.78,568.73,4,57.15,6.71,2.82,323646.6032
550.0,1089.85,2,84.97,1.9,2.12,98622.30842
895.52,424.22,4,50.65,8.74,6.51,652902.385
550.0,692.32,3,48.35,6.8,3.42,313766.7632
747.84,692.21,2,114.59,3.11,2.29,190662.9313
1599.49,726.01,1,8.76,6.77,6.86,485170.8378
823.7,736.53,3,47.53,5.49,3.4,207331.9679
550.0,59.73,2,24.42,8.11,1.83,111298.1421
678.06,383.89,2,27.09,4.38,4.83,169416.882
550.0,520.0,2,45.32,4.78,2.51,232506.3177
1965.15,860.28,3,5.7,7.39,4.33,610064.7447
770.2,443.68,4,42.78,4.79,5.14,256123.2288
1809.96,826.48,6,67.94,7.23,8.07,822630.8227
884.33,119.82,3,3.26,9.03,5.4,201575.1283
755.0,807.85,4,28.54,8.01,4.49,319705.9149
1212.97,663.54,4,26.2,7.82,7.63,509492.6003
1852.27,329.49,3,7.53,10.0,8.14,295980.5785
550.0,337.16,3,33.87,4.0,1.62,113104.3844
666.18,320.07,2,91.43,6.67,5.4,120438.0192
1338.96,356.98,1,81.9,4.36,2.75,345504.5387
550.0,96.25,2,81.32,8.59,6.36,110454.7642
924.97,987.22,2,60.26,4.25,4.27,119563.1348
1591.14,853.09,4,1.58,10.0,7.22,662675.9344
1237.01,395.55,3,43.39,10.0,8.26,586725.5921
778.67,339.21,2,21.13,7.1,5.4,124414.6586
550.0,174.71,1,107.04,3.47,0.53,202946.7719
550.0,367.26,3,38.43,6.67,5.81,294006.8647
550.0,214.55,4,17.8,7.53,4.15,251042.806
749.67,762.83,3,17.74,6.81,3.08,218754.4913
986.24,267.45,2,20.48,6.96,2.81,122559.9246
1015.29,1044.76,5,28.84,10.0,5.4,339351.4185
1379.86,599.2,3,66.8,8.59,5.94,504221.8113
834.25,103.32,4,50.16,6.22,7.4,361257.3895
1743.48,530.95,3,5.49,10.0,6.57,493629.1326
1499.48,239.94,4,8.75,9.08,6.87,365843.4516
550.0,112.47,2,65.5,8.28,4.68,248789.3322
